,tradeDate,深证成指,沪深300,中证500,上证50,中小板指,创业板指,上证综指
287,2015-03-11,1.42032744798,1.51795019768,1.62762186649,1.54282527886,1.35232713803,1.52725012622,1.56012149501
288,2015-03-12,1.43394535731,1.54731737569,1.62690588763,1.5919003215,1.35003258311,1.51397408708,1.58781816708
289,2015-03-13,1.44356062343,1.55800652891,1.64495193326,1.59841047877,1.37013963599,1.55218855471,1.59900056272
290,2015-03-16,1.48104490443,1.59590952549,1.69359925299,1.63401616425,1.42176030252,1.6074022339,1.63521677151
291,2015-03-17,1.49974539053,1.61806733908,1.71992258592,1.65473041748,1.42727937021,1.60349376558,1.66059950118
292,2015-03-18,1.54001004142,1.65637085591,1.7485134018,1.69729274056,1.45450687625,1.63759496415,1.6958960115
293,2015-03-19,1.5317373288,1.6536490409,1.76264976108,1.68486623846,1.45739359987,1.63831439239,1.69825214624
294,2015-03-20,1.54595195596,1.67640117486,1.78043462385,1.71717424712,1.46733812062,1.66073594733,1.71486692579
295,2015-03-23,1.57501921279,1.71063488919,1.82364206359,1.74279209711,1.51624105694,1.72066304427,1.74824629146
296,2015-03-24,1.57759303598,1.71106124945,1.83117062673,1.71907547183,1.53495188827,1.76891499869,1.74999182227
297,2015-03-25,1.57215738266,1.69700428083,1.8516361871,1.69698462429,1.56155876355,1.78920377524,1.7354458902
298,2015-03-26,1.56672062021,1.7011343767,1.83852896622,1.72171143534,1.53158664648,1.71926769857,1.74557584739
299,2015-03-27,1.58661676025,1.71047984909,1.85971154498,1.72265820425,1.55701412567,1.74329540144,1.74984296386
300,2015-03-30,1.62591633528,1.76064393319,1.88298462608,1.78365113295,1.57037725455,1.71828270454,1.79510350637
301,2015-03-31,1.62189237192,1.74471787009,1.88496155934,1.76456329804,1.58238329721,1.75181226149,1.77677164029
302,2015-04-01,1.65073755408,1.77602735596,1.92982497631,1.79325654555,1.62730589526,1.80412872289,1.80635132387
303,2015-04-02,1.65460414267,1.77640634286,1.96488714952,1.78184791612,1.65715981578,1.85695381031,1.8136946895
304,2015-04-03,1.66305099041,1.79611366162,1.99564747228,1.80461392903,1.67533441423,1.88308653469,1.83177814218
305,2015-04-07,1.69682889209,1.83465835192,2.04353723181,1.85090887894,1.69907927253,1.91799868417,1.87797592381
306,2015-04-08,1.70582390194,1.85005900137,2.02916905651,1.89102612967,1.66584785573,1.86658094543,1.89382555216
307,2015-04-09,1.700280169,1.83556275248,2.01309630578,1.87801798605,1.63661594954,1.87282924345,1.87615359344
308,2015-04-10,1.72697374096,1.87099802755,2.06664216832,1.91314260018,1.68384377578,1.91509621509,1.91255089749
309,2015-04-13,1.74375504351,1.90400864779,2.11100530968,1.94806671454,1.72256955363,1.9338111017,1.95398710621
310,2015-04-14,1.73056353726,1.91137735898,2.11024281169,1.95529367452,1.71230068414,1.91961158377,1.96055299478
311,2015-04-15,1.68177895856,1.88654079708,2.02780466849,1.95586826973,1.64848007726,1.83175806806,1.93618477785
312,2015-04-16,1.72136235043,1.94383672555,2.05622058282,2.03914165597,1.670207095,1.86370923396,1.98864551645
313,2015-04-17,1.74373495574,1.97940550737,2.07406729785,2.07247074016,1.66862804433,1.8484504536,2.0324843189
314,2015-04-20,1.70950649636,1.94744140776,2.03746037752,2.02707259437,1.62353131389,1.81908667872,1.99919550087
315,2015-04-21,1.7794311783,1.98931946012,2.10835293937,2.05903917689,1.68647888699,1.92504517994,2.03548376851
316,2015-04-22,1.81765192889,2.04127942532,2.16312077381,2.11339639574,1.73459061792,1.97668797445,2.0852001079
317,2015-04-23,1.81692285358,2.0417445456,2.18580236021,2.09685484393,1.75636111934,2.03014171761,2.09279188693
318,2015-04-24,1.79911226823,2.0252715355,2.18798330197,2.06518484734,1.75709480767,2.05157077666,2.08292077272
319,2015-04-27,1.82508206411,2.07047002989,2.21239181378,2.11931081885,1.76609731372,2.0611333958,2.14630885655
320,2015-04-28,1.81248974045,2.04216229253,2.14832197166,2.10257645415,1.70716842357,2.01648008294,2.1220454094
321,2015-04-29,1.83278788246,2.05614604777,2.19036357432,2.10318628095,1.7389822723,2.09866294374,2.12223740831
322,2015-04-30,1.82621782444,2.04562054798,2.20112768619,2.08218056638,1.73483610308,2.14394866328,2.10566150261
323,2015-05-04,1.83138025936,2.06192129131,2.21173300928,2.09596252384,1.74186168275,2.1344678144,2.12405973868
324,2015-05-05,1.75405686787,1.97970697422,2.13087365793,2.01704888671,1.69400947035,2.08809957667,2.03789347332
325,2015-05-06,1.74211117339,1.96096865606,2.10063752005,2.01077574196,1.70286096942,2.13544755713,2.00497395689
326,2015-05-07,1.73946919965,1.92511994074,2.05398298647,1.98250271123,1.68837141549,2.10505677782,1.94948295405
327,2015-05-08,1.78463847181,1.9631521374,2.13138017074,1.99247773524,1.76657128587,2.23074966823,1.9939048643
328,2015-05-11,1.84177574452,2.02005615897,2.22413906466,2.03006599838,1.85875788068,2.36070736525,2.05442813481
329,2015-05-12,1.85673756296,2.04455680066,2.27285681281,2.04235157412,1.89691916126,2.43832609529,2.0864919524
330,2015-05-13,1.86989973859,2.03207607301,2.29345283467,2.01223368922,1.92221322461,2.3947035378,2.07442256921
331,2015-05-14,1.85158363145,2.02447049501,2.2904548194,2.004083021,1.91856079286,2.35677864191,2.07563192529
332,2015-05-15,1.81097416096,1.988591633,2.27213095838,1.96042083173,1.90398901523,2.35958583739,2.04262707602
333,2015-05-18,1.8082241076,1.97036150182,2.31389682472,1.92069112849,1.96256647815,2.45947158408,2.03068047731
334,2015-05-19,1.86426579552,2.03757999638,2.37139291542,1.99608480948,2.01532681249,2.49269806595,2.0942349602
335,2015-05-20,1.89010964228,2.04778680264,2.41102461902,2.00041765449,2.05307262625,2.55534608699,2.1078578753
336,2015-05-21,1.95609749004,2.08484999871,2.49987668531,2.01838640599,2.1457833971,2.64621534985,2.14726932516
