,idx,long,short,profit
2014-01-02,0.0,0.0,0.0,0.0
2014-01-03,-0.012444847720999963,0.0,0.0,0.0
2014-01-06,-0.01774306943199999,0.0,0.0,0.0
2014-01-07,0.0007623067739999101,0.0,0.0,0.0
2014-01-08,-0.001411310488999895,0.0,0.0,0.0
2014-01-09,-0.007925525283000057,0.0,0.0,0.0
2014-01-10,-0.006790598405999937,0.0,0.0,0.0
2014-01-13,-0.0017701825229999857,0.0,0.0,0.0
2014-01-14,0.00819100525399985,0.0,0.0,0.0
2014-01-15,-0.001656405390999871,0.0,0.0,0.0
2014-01-16,0.00016734719599986736,0.0,0.0,0.0
2014-01-17,-0.00888978646399985,0.0,0.0,0.0
2014-01-20,-0.006492881581000143,0.0,0.0,0.0
2014-01-21,0.008087657693000017,0.0,0.0,0.0
2014-01-22,0.02059176433800014,0.0,0.0,0.0
2014-01-23,-0.00453638900800013,0.0,0.0,0.0
2014-01-24,0.005789359657000115,0.0,0.0,0.0
2014-01-27,-0.009999113486000022,0.0,0.0,0.0
2014-01-28,0.0024713340889999103,0.0,0.0,0.0
2014-01-29,0.005404887771000122,0.0,0.0,0.0
2014-01-30,-0.007979095349000098,0.0,0.0,0.0
2014-02-07,0.005411050699000053,0.0,0.0,0.0
2014-02-10,0.019707147146999948,0.0,0.0,0.0
2014-02-11,0.008345552522999955,0.0,0.0,0.0
2014-02-12,0.002979064532000031,0.0,0.0,0.0
2014-02-13,-0.005477420688999923,0.0,0.0,0.0
2014-02-14,0.008271123318999929,0.0,0.0,0.0
2014-02-17,0.009276154629999978,0.0,0.0,0.0
2014-02-18,-0.007750592939999912,0.0,0.0,0.0
2014-02-19,0.011134988510000055,0.0,0.0,0.0
2014-02-20,-0.0017881972400002333,0.0,0.0,0.0
2014-02-21,-0.011893976779999704,0.0,0.0,0.0
2014-02-24,-0.017543959454000113,0.0,0.0,0.0
2014-02-25,-0.020132389171999998,0.0,0.0,0.0
2014-02-26,0.0033350921379999843,0.0,0.964365002724,-0.0033350921379999843
2014-02-27,0.0028918353999999313,0.0,0.967700094862,-0.0028918353999999313
2014-02-28,0.00424199068300013,0.0,0.970591930262,-0.00424199068300013
2014-03-03,0.008975593382999802,0.0,0.9748339209450001,-0.008975593382999802
2014-03-04,-0.001783456520999871,0.0,0.9838095143279999,0.001783456520999871
2014-03-05,-0.008717698554000064,0.0,0.982026057807,0.008717698554000064
2014-03-06,0.003078619523000037,0.0,0.973308359253,-0.003078619523000037
2014-03-07,-0.0007916991999999956,0.0,0.976386978776,0.0007916991999999956
2014-03-10,-0.027895782044000117,0.0,0.975595279576,0.027895782044000117
2014-03-11,0.0009917573210002084,0.0,0.9476994975319999,-0.0009917573210002084
2014-03-12,-0.001642657322000196,0.0,0.9486912548530001,0.001642657322000196
2014-03-13,0.010154134827000116,0.0,0.9470485975309999,-0.010154134827000116
2014-03-14,-0.0070029823830000115,0.0,0.957202732358,0.0070029823830000115
2014-03-17,0.009165696004999946,0.0,0.950199749975,-0.009165696004999946
2014-03-18,0.0007220107080000426,0.0,0.95936544598,-0.0007220107080000426
2014-03-19,-0.001641235108000072,0.0,0.960087456688,0.001641235108000072
2014-03-20,-0.013394886760999869,0.0,0.9584462215799999,0.013394886760999869
2014-03-21,0.025666224357999923,0.0,0.945051334819,-0.025666224357999923
2014-03-24,0.008846171896999988,0.0,0.970717559177,-0.008846171896999988
2014-03-25,0.0004892416620000395,0.979563731074,0.0,0.0004892416620000395
2014-03-26,-0.001726093884000024,0.980052972736,0.0,-0.001726093884000024
2014-03-27,-0.008098087264999942,0.978326878852,0.0,-0.008098087264999942
2014-03-28,-0.002311572034999987,0.970228791587,0.0,-0.002311572034999987
2014-03-31,-0.003985043996000082,0.967917219552,0.0,-0.003985043996000082
2014-04-01,0.006710006272000024,0.963932175556,0.0,0.006710006272000024
2014-04-02,0.005465094835999995,0.970642181828,0.0,0.005465094835999995
2014-04-03,-0.007246655070999974,0.976107276664,0.0,-0.007246655070999974
2014-04-04,0.007172225864999993,0.968860621593,0.0,0.007172225864999993
2014-04-08,0.01870353804199998,0.976032847458,0.0,0.01870353804199998
2014-04-09,0.003296218285000041,0.9947363855,0.0,0.003296218285000041
2014-04-10,0.013777936435000138,0.998032603785,0.0,0.013777936435000138
2014-04-11,-0.0017815602400002017,1.0118105402200002,0.0,-0.0017815602400002017
2014-04-14,0.0004726491700000057,1.01002897998,0.0,0.0004726491700000057
2014-04-15,-0.014192748891999951,1.01050162915,0.0,-0.014192748891999951
2014-04-16,0.0016692053189999445,0.996308880258,0.0,0.0016692053189999445
2014-04-17,-0.0029567831799999222,0.997978085577,0.0,-0.0029567831799999222
2014-04-18,-0.0005390191549999868,0.995021302397,0.0,-0.0005390191549999868
2014-04-21,-0.015133306501000088,0.994482283242,0.0,-0.015133306501000088
2014-04-22,0.00332086999600012,0.979348976741,0.0,0.00332086999600012
2014-04-23,-0.0025832149340001553,0.0,0.9826698467370001,0.0025832149340001553
2014-04-24,-0.004906164681999892,0.0,0.9800866318029999,0.004906164681999892
2014-04-25,-0.009725100230000061,0.0,0.975180467121,0.009725100230000061
2014-04-28,-0.015659525729999957,0.0,0.965455366891,0.015659525729999957
2014-04-29,0.007989998991000058,0.0,0.949795841161,-0.007989998991000058
2014-04-30,0.0028524874759998653,0.0,0.9577858401520001,-0.0028524874759998653
2014-05-05,0.00047170102000015923,0.0,0.9606383276279999,-0.00047170102000015923
2014-05-06,0.00032473889299988734,0.0,0.9611100286480001,-0.00032473889299988734
