,ticker,name,date,pre_close,open,low,high,close
0,000016,上证50,2017-10-09,2672.3272,2736.8345,2688.5382,2743.3643,2692.0769
1,000016,上证50,2017-10-10,2692.0769,2693.251,2671.9426,2711.3065,2695.5374
2,000300,沪深300,2017-10-09,3836.5013,3910.1149,3876.0322,3918.8391,3882.2076
3,000300,沪深300,2017-10-10,3882.2076,3883.0037,3855.4666,3900.7418,3889.8637
4,000905,中证500,2017-10-09,6603.2587,6682.5774,6657.5305,6696.6664,6678.371
5,000905,中证500,2017-10-10,6678.371,6677.3723,6658.8617,6705.7177,6705.4812
